CreatedAt,favorite_count,full_text,url,views_count
,,,,
Fri Dec 01 22:01:02 +0000 2023,687,"? Popular Payment Apps by Global Users ?

AliPay : 650M ?? 
WeChat Pay : 550M ?? 
Apple Pay : 507M ?? 
Google Pay : 421M ?? 
PayPal : 377M ?? 
Paytm : 333M ?? 
PhonePe : 300M ?? 
Samsung Pay : 140M ?? 
Venmo : 52M ?? 
Cash App : 36M ??",https://x.com/worldranking_/status/1730708610538238445,43131
Fri Dec 01 17:02:44 +0000 2023,13,"Spr raaa bittu @hombalefilms @SalaarTheSaga ??

#Salaar Trailer Ads displaying @Paytm ?

#SalaarTrailerDay #Prabhas
#SalaarTrailer https://t.co/g9bYqgJd06",https://x.com/Rebelkiran69/status/1730633539623022841,338
Fri Dec 01 17:07:43 +0000 2023,21,"The only way we can win a World Cup is rename it to IDFC /Paytm Cup. ?

#INDvAUST20I https://t.co/yWfYmbWWd8",https://x.com/ExtraaaCover/status/1730634797347991898,1098
Fri Dec 01 16:55:02 +0000 2023,16,"Average Paytm ? promoting stuff account and criticizing @PawanKalyan garu.
#YCPCriminalPolitics https://t.co/IJHoEil9Xx",https://x.com/LetsGlassIt/status/1730631604949663837,652
Fri Dec 01 15:46:50 +0000 2023,10,"Paytm series ??
Mastercard series ??
IDFC First Bank series ??

Indian team and winning bilateral Bank series. A better love story than twilight. ??",https://x.com/TUnlimitedd/status/1730614441614659799,515
Fri Dec 01 16:57:24 +0000 2023,20,India won the Paytm series ??,https://x.com/saivinay07/status/1730632199697993817,1359
Fri Dec 01 08:18:30 +0000 2023,12,"? Paytm New Send Money Offer

?Send Min ?15 to Any UPI &amp; Get Flat ?30 Cashback

? Seems To Be All User Offer https://t.co/0q40YSxFNm",https://x.com/DealBeeOfficial/status/1730501615004893190,8985
Fri Dec 01 17:05:16 +0000 2023,7,"Indian team Indian team
In paytm series in world cup https://t.co/8FZaGnoITx",https://x.com/viratian_83/status/1730634180017746015,356
Fri Dec 01 13:18:02 +0000 2023,6,"? Effect of tightening loan guidelines to NBFC and Banks. 

Pay Later scheme is the biggest risk to any loan provider or NBFC.

Lots of Paytm Postpaid users are complaining of accounts blocked and they are not able to use their postpaid account for any kind of payments.

@Paytmcare 
Image:- @divya_gandotra",https://x.com/Sandeepnirvan_/status/1730576995468374343,3090
Fri Dec 01 16:53:48 +0000 2023,3,India after dominating Aussies in Paytm series : https://t.co/oZF1Yuiagz,https://x.com/s_r4__/status/1730631292113523057,103
Fri Dec 01 05:14:13 +0000 2023,14,"PhonePe, GPay &amp; PayTM dominate UPI payments with a 97% market share.

Meanwhile, $3Bn BharatPe struggled after founder Ashneer Grover's exit last year.

But with a recent EBITDA profitable month, BharatPe seems to be coming back.

THREAD: Decoding BharatPe's comeback strategy. https://t.co/andKaTRVva",https://x.com/_buildd/status/1730455238035788212,3400
Fri Dec 01 17:46:42 +0000 2023,6,"India won another Paytm series against Australia but instead of being happy I am feeling depressed.

I still can't get over world cup loss ?

#Kohli #INDvsSA #BCCI #Sanju
#T20I #KlRahul #Animal #Rohit
#T20WorldCup2024 #Rahane
#jaiswal #Gaikwad #Rahul #Rinku https://t.co/uSzSHvbpde",https://x.com/sujeetsuman1991/status/1730644604486381687,433
Fri Dec 01 17:12:25 +0000 2023,22,Yet another Cycle Agarbatthi/ paytm/ idfc trophy ??? #INDVSAUS,https://x.com/rajupp/status/1730635979277693159,1702
Fri Dec 01 09:11:26 +0000 2023,17,"[#DevFestAhm Speaker Announcement - @avishwakarmadev]

Ashok Vishwakarma is a @GoogleDevExpert | Writes @Medium | Ex Adobe, PayTM, Naukri | Entrepreneur | TechEnthusiast | Speaker. 

He is taking a talk on ""The evolution of JavaScript bundlers"".

 #GDG #Ahmedabad #devfest2023 https://t.co/b6anO15kUv",https://x.com/GDGAhmedabad/status/1730514933518127357,510
Fri Dec 01 16:50:10 +0000 2023,5,"Discovering unique Indian handicrafts at ONDC on Paytm App has got me intrigued! Just ordered reasonably priced #OfficeDecor from Jodhpur craftsman. I got extra 125Rs #CouponDiscount too! 
Checkout @ondc_official at Paytm #IndianHandicrafts #ONDCStore #VocalForLocal #BharatKaONDC https://t.co/UXgmuxkiL8",https://x.com/Mrinal_manjari0/status/1730630376887120028,5818
Fri Dec 01 17:05:47 +0000 2023,19,"petition to change the name of world cup to paytm/idfc trophy, probably then we will start winning that too ?",https://x.com/kyayaarshash/status/1730634307675582739,600
Fri Dec 01 17:08:16 +0000 2023,10,"2 minutes Silence to Haters who said India only win Paytm Trophy 
Now they won IDFC First Bank Cup ?",https://x.com/gokulponting123/status/1730634934577230327,1043
Fri Dec 01 09:06:26 +0000 2023,5,I need a google pay and paytm wrapped https://t.co/lI4wiyvfhh,https://x.com/twinflamebreeze/status/1730513674463482156,1141
Fri Dec 01 06:14:24 +0000 2023,3,"Australia has the most ICC trophy and India have most Paytm trophy ??

Perfectly balanced ?

#Kohli #INDvsSA #BCCI #Sanju
#T20I #KlRahul #Animal
#T20WorldCup2024 #Rahane https://t.co/maxZo0t3qq",https://x.com/IamRajPaladi/status/1730470383877574757,680
Fri Dec 01 08:05:32 +0000 2023,10,paytm did it last yr lol,https://x.com/fincher_fiedv2/status/1730498350846292399,965
Fri Dec 01 09:08:45 +0000 2023,105,Tickets for @tamilthalaivas match this month will be available on @Paytm from tomorrow. #???????? #?????????????,https://x.com/tnrags/status/1730514260101304604,6283
Fri Dec 01 11:10:10 +0000 2023,22,"Zomato wrapped - Momos

Paytm wrapped - Rs 18 transaction

Instagram wrapped - La La La Lalaaaa

Zerodha wrapped - Red is your favorite color

Splitwise wrapped - Your favorite debtor

Bumble wrapped - Nobody likes you

Ludoking wrapped - Loser",https://x.com/jay_modi6/status/1730544815119716432,917
Fri Dec 01 06:13:00 +0000 2023,6,"Australia has the most ICC trophy and India have most Paytm trophy ??

Perfectly balanced ?

#Kohli #INDvsSA #BCCI #Sanju
#T20I #KlRahul #Animal
#T20WorldCup2024 #Rahane https://t.co/iA3Ew8uTyX",https://x.com/sujeetsuman1991/status/1730470030427725875,1350
